"","Year","Age","Result","Variable","Group","Run","Scenario","Estimate"
"86",6,9,43027.7277941057,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"87",7,9,40392.0430342011,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"88",8,9,23026.7837012242,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"89",9,9,15300.0414611589,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"90",10,9,14638.7785793245,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"91",1,10,44770.1184291157,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"92",2,10,33136.0760229782,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"93",3,10,55786.0542506763,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"94",4,10,34377.8314575507,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"95",5,10,67951.7192076085,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"96",6,10,55684.8899267064,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"97",7,10,39048.4091270388,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"98",8,10,36690.9644249717,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"99",9,10,20935.8092541597,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"100",10,10,13885.2681461275,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"101",1,11,75168.7407322334,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"102",2,11,40429.0498021944,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"103",3,11,29830.425032771,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"104",4,11,50065.1978258776,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"105",5,11,30894.3200041168,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"106",6,11,60876.355268156,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"107",7,11,49727.6294392198,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"108",8,11,34924.8681806475,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"109",9,11,32865.195592282,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"110",10,11,18696.5384613231,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"111",1,12,41603.7730553632,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"112",2,12,67148.6812124951,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"113",3,12,35963.1160140026,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"114",4,12,26423.0623783467,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"115",5,12,44428.8482564277,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"116",6,12,27299.9082886483,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"117",7,12,53559.1261151091,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"118",8,12,43843.0204965091,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"119",9,12,30854.6165629922,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"120",10,12,28915.8656301941,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"121",1,13,48110.5734414352,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"122",2,13,36859.1767234768,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"123",3,13,59188.4267620445,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"124",4,13,31538.1853171151,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"125",5,13,23223.8623411581,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"126",6,13,38849.6838227041,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"127",7,13,23746.0283833338,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"128",8,13,46705.9731565893,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"129",9,13,38327.0646801533,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"130",10,13,26839.1182566575,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"131",1,14,26610.6423936981,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"132",2,14,42381.6536821077,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"133",3,14,32285.4687961009,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"134",4,14,51548.2338032995,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"135",5,14,27536.0483721984,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"136",6,14,20160.6264762605,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"137",7,14,33526.538907596,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"138",8,14,20551.0941567088,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"139",9,14,40533.1716921751,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"140",10,14,33077.0899942542,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"141",1,15,25447.6965324594,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"142",2,15,23353.1322592124,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"143",3,15,36967.1773991102,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"144",4,15,27988.7717702264,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"145",5,15,44808.063246012,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"146",6,15,23788.6661058906,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"147",7,15,17306.8971332246,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"148",8,15,28869.3016637857,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"149",9,15,17748.5377040907,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"150",10,15,34797.4773339328,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"151",1,16,22180.7888824514,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"152",2,16,22276.2621654974,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"153",3,16,20312.8310229384,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"154",4,16,31949.3195096922,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"155",5,16,24257.5381231998,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"156",6,16,38585.6503296494,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"157",7,16,20349.9238205424,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"158",8,16,14852.6595208746,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"159",9,16,24851.8530806595,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"160",10,16,15183.722173336,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"161",1,17,17504.8927696038,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"162",2,17,19383.3921861117,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"163",3,17,19339.5870191735,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"164",4,17,17519.2329718188,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"165",5,17,27634.9712311629,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"166",6,17,20843.4673823614,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"167",7,17,32929.7320510838,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"168",8,17,17424.4131457348,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"169",9,17,12757.8073191826,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"170",10,17,21210.2015972351,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"171",1,18,12108.414904898,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"172",2,18,15279.1622127794,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"173",3,18,16806.0996134714,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"174",4,18,16655.9142493317,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"175",5,18,15132.5999342749,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"176",6,18,23709.7628473172,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"177",7,18,17759.02377706,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"178",8,18,28151.3052626439,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"179",9,18,14944.1753665177,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"180",10,18,10870.4938124226,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"181",1,19,31152.311125573,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"182",2,19,10560.0009444776,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"183",3,19,13235.3133134152,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"184",4,19,14459.2666119612,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"185",5,19,14372.8309572632,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"186",6,19,12969.322577632,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"187",7,19,20177.6487138909,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"188",8,19,15165.0445250735,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"189",9,19,24118.2489472862,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"190",10,19,12718.6127989953,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"191",1,20,13333.2701266378,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"192",2,20,27152.0934436469,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"193",3,20,9141.27312135854,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"194",4,20,11378.7075382496,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"195",5,20,12468.4384069144,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"196",6,20,12308.6123680045,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"197",7,20,11027.9214436708,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"198",8,20,17216.4154713019,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"199",9,20,12982.323683604,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"200",10,20,20509.1107165132,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"201",1,21,10067.8602555165,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"202",2,21,11615.9430978581,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"203",3,21,23492.5301755151,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"204",4,21,7854.66906677574,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"205",5,21,9806.87313924823,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"206",6,21,10671.5923568098,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"207",7,21,10459.5645600117,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"208",8,21,9403.82997327064,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"209",9,21,14729.9316001501,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"210",10,21,11032.6999220156,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"211",1,22,5421.33632812645,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"212",2,22,5547.19322778298,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"213",3,22,6355.99306125423,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"214",4,22,12765.4881835575,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"215",5,22,4281.13556611968,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"216",6,22,5307.92777400541,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"217",7,22,5734.48244005121,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"218",8,22,5640.18492086186,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"219",9,22,5087.90732546784,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"220",10,22,7915.72553807165,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"221",1,23,4545.87018051703,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"222",2,23,2986.27337747252,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"223",3,23,3034.43035370176,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"224",4,23,3452.65904161057,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"225",5,23,6955.63137061793,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"226",6,23,2316.37601935511,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"227",7,23,2851.23331912004,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"228",8,23,3091.17052764222,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"229",9,23,3050.58227970202,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"230",10,23,2733.2039877335,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"231",1,24,3634.08272194497,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"232",2,24,2503.52833257186,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"233",3,24,1633.18831857836,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"234",4,24,1647.93742344965,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"235",5,24,1880.83319754731,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"236",6,24,3762.48217626647,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"237",7,24,1243.92620001795,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"238",8,24,1536.540994482,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"239",9,24,1671.4741630964,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"240",10,24,1638.30018072923,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"241",1,25,1625.62636093051,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"242",2,25,2001.06559129464,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"243",3,25,1368.93497276183,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"244",4,25,886.780014961685,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"245",5,25,897.545954424306,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"246",6,25,1017.1850759384,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"247",7,25,2020.05845858437,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"248",8,25,670.214405975708,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"249",9,25,830.677139017265,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"250",10,25,897.458547906075,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"251",1,26,2610.28208156966,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"252",2,26,895.019498173401,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"253",3,26,1094.03441108751,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"254",4,26,743.183112861004,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"255",5,26,482.91186474009,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"256",6,26,485.329143101312,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"257",7,26,546.025837204222,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"258",8,26,1088.20280283462,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"259",9,26,362.269294945895,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"260",10,26,445.9341851368,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"261",1,27,608.582044221228,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"262",2,27,1436.99539145498,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"263",3,27,489.275649455343,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"264",4,27,593.869013424953,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"265",5,27,404.665870920083,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"266",6,27,261.0907569434,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"267",7,27,260.488481188215,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"268",8,27,294.103682506069,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"269",9,27,588.127242890186,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"270",10,27,194.450477107174,"Numbers","Adulto",1,"w/ Aquaculture","Central"
"271",1,1,0.0021294110983781,"Catches","Machorro",1,"w/ Aquaculture","Central"
"272",2,1,0.00224267683366381,"Catches","Machorro",1,"w/ Aquaculture","Central"
"273",3,1,0.0022091933824221,"Catches","Machorro",1,"w/ Aquaculture","Central"
"274",4,1,0.00224578124630228,"Catches","Machorro",1,"w/ Aquaculture","Central"
"275",5,1,0.00257240949540908,"Catches","Machorro",1,"w/ Aquaculture","Central"
"276",6,1,0.00288516511427282,"Catches","Machorro",1,"w/ Aquaculture","Central"
"277",7,1,0.00286725203019621,"Catches","Machorro",1,"w/ Aquaculture","Central"
"278",8,1,0.00285045955998864,"Catches","Machorro",1,"w/ Aquaculture","Central"
"279",9,1,0.00315682488834509,"Catches","Machorro",1,"w/ Aquaculture","Central"
"280",10,1,0.00346118969237964,"Catches","Machorro",1,"w/ Aquaculture","Central"
"281",1,2,0.0264743803211435,"Catches","Machorro",1,"w/ Aquaculture","Central"
"282",2,2,0.0193404851360114,"Catches","Machorro",1,"w/ Aquaculture","Central"
"283",3,2,0.0201970965613696,"Catches","Machorro",1,"w/ Aquaculture","Central"
"284",4,2,0.017577825104414,"Catches","Machorro",1,"w/ Aquaculture","Central"
"285",5,2,0.0201451812402241,"Catches","Machorro",1,"w/ Aquaculture","Central"
"286",6,2,0.0229684863523484,"Catches","Machorro",1,"w/ Aquaculture","Central"
"287",7,2,0.0229563097913922,"Catches","Machorro",1,"w/ Aquaculture","Central"
"288",8,2,0.0228137812876061,"Catches","Machorro",1,"w/ Aquaculture","Central"
"289",9,2,0.025330126669438,"Catches","Machorro",1,"w/ Aquaculture","Central"
"290",10,2,0.0278842897859054,"Catches","Machorro",1,"w/ Aquaculture","Central"
"291",1,3,0.229506827018108,"Catches","Machorro",1,"w/ Aquaculture","Central"
"292",2,3,0.143920131960474,"Catches","Machorro",1,"w/ Aquaculture","Central"
"293",3,3,0.104250342723353,"Catches","Machorro",1,"w/ Aquaculture","Central"
"294",4,3,0.0961851924282387,"Catches","Machorro",1,"w/ Aquaculture","Central"
"295",5,3,0.094374951887126,"Catches","Machorro",1,"w/ Aquaculture","Central"
"296",6,3,0.107659241305166,"Catches","Machorro",1,"w/ Aquaculture","Central"
"297",7,3,0.109383453860001,"Catches","Machorro",1,"w/ Aquaculture","Central"
"298",8,3,0.109325466627321,"Catches","Machorro",1,"w/ Aquaculture","Central"
"299",9,3,0.121341012651084,"Catches","Machorro",1,"w/ Aquaculture","Central"
"300",10,3,0.133916567611668,"Catches","Machorro",1,"w/ Aquaculture","Central"
"301",1,4,2.02656413754232,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
"302",2,4,2.09531232947734,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
"303",3,4,1.30283354992375,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
"304",4,4,0.833784598230955,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
"305",5,4,0.867275327641598,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
"306",6,4,0.847020441713457,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
"307",7,4,0.86104812120086,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
"308",8,4,0.874838373804897,"Catches","Pre-Adulto",1,"w/ Aquaculture","Central"
